date,event_type,attendees,food_prepared,food_consumed,wasted_food
2024-02-07,Festival,489,469.91,393.03,76.88
2024-02-08,Birthday Party,78,72.09,51.0,21.09
2024-02-09,Corporate Event,107,110.93,89.96,20.97
2024-02-10,Festival,813,797.85,672.26,125.59
2024-02-11,Festival,681,563.55,453.65,109.9
2024-02-12,Wedding,328,350.11,305.8,44.31
2024-02-13,Birthday Party,20,17.51,16.23,1.28
2024-02-14,Festival,626,570.16,464.72,105.43
2024-02-15,Birthday Party,63,65.05,47.79,17.26
2024-02-16,Birthday Party,95,87.2,76.23,10.97
2024-02-17,Wedding,268,308.72,276.77,31.94
2024-02-18,Birthday Party,47,38.14,33.18,4.96
2024-02-19,Birthday Party,55,55.74,50.0,5.74
2024-02-20,Small Gathering,36,35.88,30.51,5.37
2024-02-21,Festival,962,951.94,728.36,223.58
2024-02-22,Corporate Event,180,186.81,148.77,38.04
2024-02-23,Wedding,344,407.83,374.54,33.29
2024-02-24,Small Gathering,48,38.66,30.89,7.77
2024-02-25,Wedding,289,247.11,220.26,26.85
2024-02-26,Wedding,389,364.92,304.85,60.07
2024-02-27,Birthday Party,49,39.52,33.4,6.12
2024-02-28,Small Gathering,29,33.08,27.05,6.03
2024-02-29,Corporate Event,192,230.26,191.83,38.43
2024-03-01,Birthday Party,49,46.13,41.48,4.65
2024-03-02,Birthday Party,51,59.4,53.76,5.64
2024-03-03,Corporate Event,89,88.85,76.51,12.34
2024-03-04,Birthday Party,62,54.41,45.1,9.31
2024-03-05,Wedding,214,228.39,181.6,46.79
2024-03-06,Small Gathering,36,38.52,35.09,3.43
2024-03-07,Birthday Party,60,67.37,56.73,10.64
2024-03-08,Festival,287,338.34,295.77,42.58
2024-03-09,Corporate Event,180,204.06,181.16,22.9
2024-03-10,Festival,469,558.41,468.79,89.62
2024-03-11,Corporate Event,102,119.21,86.46,32.74
2024-03-12,Corporate Event,131,134.72,99.82,34.9
2024-03-13,Wedding,264,280.6,207.55,73.05
2024-03-14,Wedding,480,519.47,396.58,122.89
2024-03-15,Birthday Party,49,40.11,34.99,5.12
2024-03-16,Festival,247,221.41,175.14,46.26
2024-03-17,Corporate Event,109,108.87,88.68,20.19
2024-03-18,Birthday Party,96,87.09,79.2,7.89
2024-03-19,Corporate Event,85,99.14,71.85,27.29
2024-03-20,Wedding,249,202.75,147.61,55.14
2024-03-21,Festival,677,749.6,626.45,123.16
2024-03-22,Wedding,109,103.31,84.17,19.14
2024-03-23,Festival,328,380.06,333.25,46.81
2024-03-24,Birthday Party,61,71.09,53.84,17.25
2024-03-25,Small Gathering,23,22.32,20.61,1.71
2024-03-26,Corporate Event,138,154.18,108.86,45.32
2024-03-27,Festival,360,381.25,348.47,32.78
2024-03-28,Corporate Event,177,212.05,174.61,37.44
2024-03-29,Small Gathering,29,26.23,22.04,4.19
2024-03-30,Birthday Party,21,18.37,17.22,1.14
2024-03-31,Wedding,482,505.89,354.5,151.4
2024-04-01,Festival,552,466.49,369.03,97.46
2024-04-02,Corporate Event,194,211.5,149.12,62.38
2024-04-03,Festival,616,723.3,633.89,89.41
2024-04-04,Corporate Event,72,66.79,50.29,16.5
2024-04-05,Birthday Party,46,47.12,41.48,5.64
2024-04-06,Small Gathering,15,13.03,10.77,2.26
2024-04-07,Birthday Party,28,30.79,28.52,2.26
2024-04-08,Festival,504,454.96,371.04,83.92
2024-04-09,Birthday Party,57,67.0,60.73,6.27
2024-04-10,Festival,564,666.64,523.05,143.59
2024-04-11,Wedding,346,371.36,261.84,109.52
2024-04-12,Corporate Event,95,101.42,83.31,18.11
2024-04-13,Festival,664,728.98,579.49,149.49
2024-04-14,Wedding,347,366.94,345.65,21.29
2024-04-15,Small Gathering,24,20.62,15.89,4.73
2024-04-16,Festival,323,258.63,200.32,58.31
2024-04-17,Wedding,475,521.89,406.07,115.82
2024-04-18,Festival,330,373.4,266.45,106.95
2024-04-19,Wedding,163,149.2,136.29,12.9
2024-04-20,Festival,772,636.47,459.45,177.02
2024-04-21,Festival,978,831.11,688.11,143.0
2024-04-22,Small Gathering,31,28.27,24.25,4.02
2024-04-23,Small Gathering,26,26.82,18.84,7.98
2024-04-24,Birthday Party,60,51.57,45.73,5.84
2024-04-25,Corporate Event,74,82.72,59.55,23.16
2024-04-26,Festival,310,349.15,308.33,40.82
2024-04-27,Festival,962,869.27,754.39,114.88
2024-04-28,Small Gathering,31,33.06,29.55,3.51
2024-04-29,Festival,264,269.34,218.79,50.55
2024-04-30,Wedding,191,218.03,195.12,22.91
2024-05-01,Wedding,451,443.56,383.64,59.92
2024-05-02,Birthday Party,76,73.76,61.31,12.44
2024-05-03,Corporate Event,179,188.88,176.33,12.55
2024-05-04,Birthday Party,94,87.5,79.21,8.28
2024-05-05,Birthday Party,41,46.77,34.68,12.09
2024-05-06,Wedding,459,542.64,497.65,44.99
2024-05-07,Wedding,128,140.0,98.59,41.41
2024-05-08,Corporate Event,160,162.92,130.15,32.77
2024-05-09,Birthday Party,48,51.91,47.84,4.07
2024-05-10,Corporate Event,74,84.81,80.21,4.59
2024-05-11,Wedding,421,371.6,326.37,45.23
2024-05-12,Birthday Party,97,110.12,86.85,23.26
2024-05-13,Birthday Party,93,91.73,67.92,23.81
2024-05-14,Small Gathering,35,34.53,27.78,6.76
2024-05-15,Birthday Party,92,78.52,56.38,22.15
2024-05-16,Corporate Event,76,82.86,65.53,17.33
2024-05-17,Corporate Event,85,71.6,50.59,21.0
2024-05-18,Small Gathering,30,32.23,24.49,7.74
2024-05-19,Small Gathering,34,31.12,24.81,6.31
2024-05-20,Festival,723,612.53,569.35,43.18
2024-05-21,Wedding,188,189.39,172.96,16.42
2024-05-22,Festival,898,725.7,571.08,154.61
2024-05-23,Festival,565,541.27,439.03,102.24
2024-05-24,Corporate Event,85,87.38,68.48,18.9
2024-05-25,Wedding,454,404.74,358.05,46.68
2024-05-26,Small Gathering,33,29.38,22.64,6.74
2024-05-27,Wedding,419,395.69,316.52,79.17
2024-05-28,Corporate Event,100,80.55,75.42,5.13
2024-05-29,Birthday Party,94,96.99,69.16,27.83
2024-05-30,Festival,246,208.99,198.19,10.8
2024-05-31,Corporate Event,192,180.86,153.25,27.61
2024-06-01,Wedding,268,247.52,227.81,19.71
2024-06-02,Wedding,265,311.19,258.82,52.37
2024-06-03,Festival,956,930.42,699.85,230.56
2024-06-04,Small Gathering,47,47.57,38.5,9.07
2024-06-05,Festival,658,628.39,461.98,166.41
2024-06-06,Wedding,245,212.39,191.77,20.62
2024-06-07,Wedding,174,147.33,128.86,18.47
2024-06-08,Wedding,244,235.21,203.34,31.86
2024-06-09,Wedding,314,309.88,231.61,78.27
2024-06-10,Corporate Event,52,57.37,47.67,9.69
2024-06-11,Wedding,437,520.44,476.21,44.24
2024-06-12,Birthday Party,46,51.06,36.37,14.69
2024-06-13,Festival,516,563.38,403.14,160.24
2024-06-14,Small Gathering,40,32.83,27.58,5.25
2024-06-15,Corporate Event,170,200.07,170.79,29.28
2024-06-16,Festival,734,803.24,653.93,149.31
2024-06-17,Birthday Party,51,57.28,42.53,14.75
2024-06-18,Wedding,180,200.11,167.28,32.82
2024-06-19,Festival,970,1032.04,955.47,76.57
2024-06-20,Birthday Party,24,27.67,20.33,7.35
2024-06-21,Festival,474,474.04,393.13,80.92
2024-06-22,Festival,503,513.63,397.32,116.31
2024-06-23,Festival,868,919.41,823.19,96.22
2024-06-24,Corporate Event,173,139.24,105.35,33.89
2024-06-25,Festival,487,570.34,525.31,45.03
2024-06-26,Wedding,249,281.68,257.19,24.49
2024-06-27,Birthday Party,100,117.26,100.57,16.7
2024-06-28,Wedding,385,417.05,322.58,94.48
2024-06-29,Birthday Party,32,36.42,30.79,5.63
2024-06-30,Wedding,309,363.89,266.71,97.18
2024-07-01,Birthday Party,54,44.27,37.91,6.36
2024-07-02,Small Gathering,10,10.46,7.5,2.96
2024-07-03,Birthday Party,68,70.82,65.98,4.84
2024-07-04,Corporate Event,97,110.88,84.95,25.93
2024-07-05,Festival,549,473.04,352.8,120.25
2024-07-06,Festival,408,408.41,323.45,84.96
2024-07-07,Small Gathering,48,46.2,34.47,11.73
2024-07-08,Wedding,489,566.37,437.35,129.02
2024-07-09,Birthday Party,51,58.32,45.52,12.8
2024-07-10,Birthday Party,73,71.84,61.04,10.79
2024-07-11,Birthday Party,60,51.91,43.81,8.1
2024-07-12,Small Gathering,34,38.97,33.73,5.24
2024-07-13,Wedding,447,456.68,334.78,121.9
2024-07-14,Corporate Event,79,89.86,81.73,8.13
2024-07-15,Wedding,168,148.05,136.68,11.36
2024-07-16,Small Gathering,15,16.18,12.45,3.73
2024-07-17,Wedding,435,469.52,332.76,136.76
2024-07-18,Birthday Party,87,85.07,71.61,13.46
2024-07-19,Festival,439,512.13,382.85,129.29
2024-07-20,Wedding,169,183.79,155.28,28.52
2024-07-21,Wedding,294,274.15,234.61,39.54
2024-07-22,Small Gathering,17,18.18,14.8,3.38
2024-07-23,Wedding,272,232.42,171.71,60.71
2024-07-24,Small Gathering,21,22.69,18.48,4.2
2024-07-25,Festival,643,675.3,628.94,46.36
2024-07-26,Small Gathering,41,44.05,34.71,9.34
2024-07-27,Birthday Party,46,54.04,39.85,14.19
2024-07-28,Birthday Party,65,66.59,56.9,9.69
2024-07-29,Wedding,406,390.7,284.3,106.41
2024-07-30,Birthday Party,58,67.32,50.89,16.43
2024-07-31,Corporate Event,135,127.41,96.5,30.91
2024-08-01,Small Gathering,33,38.62,27.98,10.63
2024-08-02,Birthday Party,46,38.96,27.88,11.08
2024-08-03,Small Gathering,23,26.46,23.71,2.75
2024-08-04,Festival,844,718.25,558.64,159.61
2024-08-05,Corporate Event,100,114.43,84.12,30.32
2024-08-06,Festival,432,397.73,366.42,31.31
2024-08-07,Small Gathering,16,17.46,15.08,2.38
2024-08-08,Wedding,136,136.99,111.05,25.94
2024-08-09,Small Gathering,34,39.15,27.87,11.28
2024-08-10,Festival,548,504.19,420.12,84.07
2024-08-11,Wedding,233,221.46,202.09,19.36
2024-08-12,Corporate Event,186,165.14,148.91,16.23
2024-08-13,Birthday Party,58,56.57,45.45,11.12
2024-08-14,Small Gathering,28,22.62,15.94,6.69
2024-08-15,Wedding,181,207.32,151.41,55.91
2024-08-16,Small Gathering,17,13.88,11.87,2.01
2024-08-17,Festival,264,303.01,262.89,40.12
2024-08-18,Wedding,451,432.89,303.75,129.14
2024-08-19,Corporate Event,100,88.47,74.37,14.1
2024-08-20,Small Gathering,43,35.15,32.55,2.59
2024-08-21,Festival,942,935.95,697.07,238.88
2024-08-22,Birthday Party,77,65.47,61.1,4.37
2024-08-23,Small Gathering,17,18.44,15.93,2.52
2024-08-24,Small Gathering,11,11.4,10.54,0.86
2024-08-25,Festival,316,336.46,312.88,23.58
2024-08-26,Wedding,377,336.52,311.75,24.77
2024-08-27,Small Gathering,46,50.68,43.59,7.08
2024-08-28,Birthday Party,69,79.88,70.74,9.13
2024-08-29,Festival,985,882.55,655.45,227.1
2024-08-30,Festival,849,830.35,717.17,113.18
2024-08-31,Festival,876,961.37,696.84,264.53
2024-09-01,Birthday Party,94,86.18,76.01,10.17
2024-09-02,Corporate Event,70,66.77,62.99,3.78
2024-09-03,Small Gathering,27,28.44,21.06,7.38
2024-09-04,Corporate Event,108,111.67,93.62,18.05
2024-09-05,Festival,888,826.89,592.23,234.66
2024-09-06,Festival,668,729.15,601.76,127.4
2024-09-07,Wedding,273,263.04,211.69,51.35
2024-09-08,Festival,618,610.86,488.86,122.0
2024-09-09,Birthday Party,41,40.66,38.4,2.26
2024-09-10,Corporate Event,88,87.34,71.67,15.66
2024-09-11,Small Gathering,31,29.01,23.02,5.99
2024-09-12,Birthday Party,28,28.53,22.44,6.09
2024-09-13,Small Gathering,33,36.21,27.23,8.98
2024-09-14,Wedding,294,350.03,288.33,61.7
2024-09-15,Small Gathering,33,27.19,19.36,7.84
2024-09-16,Festival,594,483.17,366.07,117.11
2024-09-17,Festival,370,356.05,279.94,76.12
2024-09-18,Corporate Event,65,58.28,47.88,10.4
2024-09-19,Small Gathering,10,8.92,6.86,2.06
2024-09-20,Small Gathering,50,54.74,48.46,6.28
2024-09-21,Small Gathering,42,41.4,31.98,9.42
2024-09-22,Corporate Event,180,204.45,170.92,33.53
2024-09-23,Small Gathering,29,24.69,22.72,1.97
2024-09-24,Birthday Party,20,23.17,17.66,5.51
2024-09-25,Small Gathering,18,20.22,17.42,2.8
2024-09-26,Wedding,183,199.09,176.93,22.17
2024-09-27,Wedding,272,256.22,232.55,23.66
2024-09-28,Festival,852,985.68,703.0,282.68
2024-09-29,Small Gathering,21,22.48,17.62,4.86
2024-09-30,Small Gathering,39,41.9,39.33,2.57
2024-10-01,Wedding,262,218.74,194.81,23.94
2024-10-02,Wedding,499,429.95,382.21,47.74
2024-10-03,Corporate Event,151,168.97,140.86,28.11
2024-10-04,Corporate Event,138,132.88,115.36,17.52
2024-10-05,Festival,442,506.9,471.87,35.03
2024-10-06,Corporate Event,116,123.08,88.55,34.53
2024-10-07,Festival,876,732.37,692.35,40.02
2024-10-08,Small Gathering,17,18.85,17.32,1.53
2024-10-09,Festival,643,714.42,525.7,188.72
2024-10-10,Birthday Party,84,94.05,87.33,6.72
2024-10-11,Small Gathering,22,24.26,20.48,3.78
2024-10-12,Festival,345,305.81,262.22,43.59
2024-10-13,Birthday Party,99,114.95,92.68,22.27
2024-10-14,Small Gathering,35,33.13,29.87,3.26
2024-10-15,Birthday Party,42,47.26,43.11,4.15
2024-10-16,Small Gathering,11,11.97,9.69,2.27
2024-10-17,Birthday Party,87,71.35,56.66,14.68
2024-10-18,Festival,608,673.25,526.94,146.31
2024-10-19,Wedding,338,284.01,201.06,82.96
2024-10-20,Birthday Party,61,65.09,52.29,12.8
2024-10-21,Festival,552,465.69,367.05,98.63
2024-10-22,Wedding,285,276.26,229.98,46.29
2024-10-23,Small Gathering,14,12.73,11.95,0.78
2024-10-24,Festival,683,707.96,655.45,52.51
2024-10-25,Birthday Party,20,23.2,19.27,3.92
2024-10-26,Wedding,406,411.09,387.09,24.01
2024-10-27,Birthday Party,61,63.24,57.98,5.25
2024-10-28,Festival,860,722.17,562.21,159.96
2024-10-29,Small Gathering,17,15.48,12.25,3.23
2024-10-30,Festival,978,902.96,784.99,117.97
2024-10-31,Small Gathering,20,19.97,18.12,1.85
2024-11-01,Corporate Event,189,210.64,163.46,47.17
2024-11-02,Small Gathering,26,26.83,19.26,7.57
2024-11-03,Festival,852,787.12,728.2,58.92
2024-11-04,Corporate Event,86,72.73,58.9,13.83
2024-11-05,Wedding,441,457.74,407.22,50.52
2024-11-06,Wedding,116,114.15,106.54,7.61
2024-11-07,Wedding,113,125.47,115.33,10.14
2024-11-08,Festival,775,654.67,614.26,40.41
2024-11-09,Wedding,185,168.28,123.42,44.86
2024-11-10,Corporate Event,115,122.87,98.41,24.46
2024-11-11,Birthday Party,73,66.48,61.38,5.1
2024-11-12,Corporate Event,95,79.44,56.53,22.91
2024-11-13,Wedding,265,316.32,297.82,18.5
2024-11-14,Wedding,364,407.15,312.51,94.64
2024-11-15,Small Gathering,40,39.35,37.03,2.32
2024-11-16,Birthday Party,72,58.03,54.61,3.42
2024-11-17,Wedding,145,167.19,130.83,36.36
2024-11-18,Festival,326,331.23,244.1,87.13
2024-11-19,Festival,409,483.85,405.9,77.95
2024-11-20,Birthday Party,57,59.36,52.55,6.8
2024-11-21,Small Gathering,29,24.41,17.32,7.09
2024-11-22,Birthday Party,50,42.36,39.97,2.39
2024-11-23,Wedding,281,271.09,194.49,76.61
2024-11-24,Festival,509,427.88,387.5,40.37
2024-11-25,Birthday Party,94,85.59,75.26,10.33
2024-11-26,Birthday Party,45,42.65,30.94,11.71
2024-11-27,Corporate Event,83,97.51,88.67,8.83
2024-11-28,Corporate Event,85,74.24,59.32,14.92
2024-11-29,Small Gathering,42,42.76,36.21,6.55
2024-11-30,Wedding,455,474.89,340.63,134.26
2024-12-01,Corporate Event,83,90.08,67.03,23.06
2024-12-02,Small Gathering,37,34.42,25.44,8.97
2024-12-03,Corporate Event,184,185.88,138.67,47.21
2024-12-04,Corporate Event,178,208.32,183.36,24.96
2024-12-05,Wedding,417,499.98,356.65,143.33
2024-12-06,Corporate Event,124,104.06,75.81,28.25
2024-12-07,Small Gathering,30,26.25,24.16,2.08
2024-12-08,Birthday Party,97,93.49,76.8,16.7
2024-12-09,Wedding,295,237.62,194.74,42.87
2024-12-10,Festival,537,482.76,380.09,102.67
2024-12-11,Wedding,344,291.99,227.73,64.26
2024-12-12,Wedding,366,392.73,286.84,105.89
2024-12-13,Birthday Party,27,29.0,21.43,7.57
2024-12-14,Small Gathering,23,19.67,17.31,2.36
2024-12-15,Wedding,500,411.48,331.23,80.24
2024-12-16,Small Gathering,17,18.46,16.32,2.13
2024-12-17,Wedding,158,182.95,134.44,48.52
2024-12-18,Small Gathering,26,30.0,25.96,4.05
2024-12-19,Birthday Party,22,24.37,21.14,3.23
2024-12-20,Birthday Party,58,60.9,50.66,10.24
2024-12-21,Small Gathering,36,30.18,25.85,4.32
2024-12-22,Festival,261,224.12,184.44,39.68
2024-12-23,Wedding,447,521.09,447.45,73.63
2024-12-24,Corporate Event,151,129.49,113.42,16.06
2024-12-25,Wedding,457,488.95,437.09,51.86
2024-12-26,Wedding,198,171.79,120.48,51.32
2024-12-27,Birthday Party,37,43.89,40.82,3.06
2024-12-28,Birthday Party,65,73.69,53.54,20.15
2024-12-29,Wedding,203,238.4,167.92,70.48
2024-12-30,Corporate Event,158,151.09,121.37,29.72
2024-12-31,Festival,372,434.27,377.3,56.97
