date,event_type,attendees,food_prepared,food_consumed,wasted_food
2024-02-25,Birthday Party,49,50.91,47.5,3.41
2024-02-26,Small Gathering,13,14.87,10.47,4.41
2024-02-27,Festival,722,701.93,524.63,177.3
2024-02-28,Festival,950,953.05,875.68,77.37
2024-02-29,Small Gathering,33,27.54,25.01,2.53
2024-03-01,Festival,891,954.84,824.25,130.59
2024-03-02,Wedding,202,164.7,156.45,8.25
2024-03-03,Corporate Event,64,51.98,40.33,11.65
2024-03-04,Small Gathering,44,51.97,43.98,7.98
2024-03-05,Corporate Event,177,149.78,108.48,41.29
2024-03-06,Festival,387,383.97,315.08,68.89
2024-03-07,Festival,537,539.77,422.83,116.94
2024-03-08,Corporate Event,123,100.14,72.23,27.9
2024-03-09,Corporate Event,143,142.32,112.74,29.58
2024-03-10,Small Gathering,48,39.28,33.23,6.06
2024-03-11,Corporate Event,117,121.48,87.42,34.05
2024-03-12,Festival,845,972.43,708.13,264.3
2024-03-13,Small Gathering,11,10.5,9.53,0.97
2024-03-14,Corporate Event,127,108.02,78.27,29.75
2024-03-15,Wedding,406,473.29,346.87,126.41
2024-03-16,Small Gathering,14,14.41,10.35,4.06
2024-03-17,Birthday Party,54,46.35,37.79,8.56
2024-03-18,Corporate Event,56,66.48,49.22,17.26
2024-03-19,Wedding,415,444.04,364.33,79.7
2024-03-20,Corporate Event,155,150.27,109.33,40.95
2024-03-21,Small Gathering,40,35.78,32.12,3.66
2024-03-22,Small Gathering,14,16.18,14.87,1.31
2024-03-23,Corporate Event,52,61.21,46.6,14.62
2024-03-24,Small Gathering,49,50.0,38.56,11.45
2024-03-25,Birthday Party,94,110.17,85.51,24.65
2024-03-26,Small Gathering,11,9.35,8.09,1.27
2024-03-27,Birthday Party,55,46.73,39.06,7.67
2024-03-28,Small Gathering,35,33.61,28.75,4.86
2024-03-29,Wedding,153,156.01,134.88,21.14
2024-03-30,Small Gathering,39,45.76,39.39,6.37
2024-03-31,Corporate Event,153,164.32,142.29,22.03
2024-04-01,Corporate Event,65,59.81,52.84,6.96
2024-04-02,Small Gathering,45,51.25,45.9,5.35
2024-04-03,Small Gathering,46,37.39,30.83,6.56
2024-04-04,Corporate Event,159,171.28,126.41,44.86
2024-04-05,Small Gathering,11,12.63,11.92,0.71
2024-04-06,Festival,934,844.94,780.76,64.18
2024-04-07,Small Gathering,33,28.52,23.72,4.8
2024-04-08,Small Gathering,45,51.85,40.36,11.49
2024-04-09,Small Gathering,27,32.2,25.58,6.61
2024-04-10,Corporate Event,200,211.04,156.82,54.23
2024-04-11,Small Gathering,22,25.57,20.94,4.63
2024-04-12,Corporate Event,131,117.32,104.4,12.92
2024-04-13,Birthday Party,67,57.76,53.09,4.67
2024-04-14,Birthday Party,22,21.76,18.68,3.08
2024-04-15,Festival,400,334.16,248.22,85.94
2024-04-16,Festival,932,843.28,618.98,224.3
2024-04-17,Birthday Party,60,56.1,50.53,5.57
2024-04-18,Small Gathering,20,22.36,19.3,3.06
2024-04-19,Festival,898,925.69,751.6,174.08
2024-04-20,Festival,219,234.6,195.52,39.09
2024-04-21,Wedding,472,464.21,373.92,90.29
2024-04-22,Small Gathering,10,11.3,10.49,0.8
2024-04-23,Wedding,131,146.56,119.65,26.91
2024-04-24,Birthday Party,27,30.9,23.05,7.85
2024-04-25,Small Gathering,30,29.38,23.29,6.09
2024-04-26,Corporate Event,103,83.29,64.8,18.49
2024-04-27,Small Gathering,42,43.64,37.54,6.1
2024-04-28,Festival,821,890.4,698.48,191.93
2024-04-29,Wedding,227,227.17,169.06,58.11
2024-04-30,Wedding,211,193.58,177.9,15.68
2024-05-01,Corporate Event,186,174.37,139.85,34.52
2024-05-02,Wedding,106,86.26,79.17,7.08
2024-05-03,Corporate Event,87,89.93,65.22,24.72
2024-05-04,Birthday Party,92,78.93,68.93,10.0
2024-05-05,Small Gathering,45,41.95,31.77,10.17
2024-05-06,Birthday Party,75,74.08,53.95,20.12
2024-05-07,Birthday Party,39,32.22,26.0,6.22
2024-05-08,Wedding,100,111.34,96.46,14.88
2024-05-09,Birthday Party,38,37.17,34.79,2.38
2024-05-10,Corporate Event,164,161.25,138.99,22.26
2024-05-11,Birthday Party,93,81.21,63.93,17.29
2024-05-12,Small Gathering,38,31.62,27.89,3.73
2024-05-13,Festival,931,939.65,837.8,101.85
2024-05-14,Wedding,260,230.92,163.62,67.29
2024-05-15,Festival,303,326.3,237.24,89.06
2024-05-16,Small Gathering,14,13.86,12.78,1.08
2024-05-17,Small Gathering,26,25.14,18.93,6.21
2024-05-18,Wedding,487,504.39,464.01,40.38
2024-05-19,Small Gathering,30,30.55,23.63,6.92
2024-05-20,Corporate Event,196,168.34,133.29,35.04
2024-05-21,Small Gathering,30,24.64,17.32,7.32
2024-05-22,Wedding,259,280.83,227.34,53.49
2024-05-23,Small Gathering,24,20.06,17.78,2.28
2024-05-24,Small Gathering,42,36.16,26.0,10.16
2024-05-25,Small Gathering,23,20.43,15.22,5.21
2024-05-26,Small Gathering,15,17.38,15.15,2.24
2024-05-27,Small Gathering,14,16.07,11.62,4.45
2024-05-28,Birthday Party,63,51.73,43.97,7.76
2024-05-29,Small Gathering,20,16.57,12.13,4.44
2024-05-30,Birthday Party,36,33.78,25.35,8.43
2024-05-31,Birthday Party,79,79.74,70.44,9.3
2024-06-01,Birthday Party,74,82.41,62.24,20.17
2024-06-02,Festival,993,1164.85,874.63,290.22
2024-06-03,Birthday Party,59,54.3,43.68,10.63
2024-06-04,Small Gathering,42,33.92,29.06,4.86
2024-06-05,Corporate Event,189,211.36,185.82,25.54
2024-06-06,Corporate Event,99,91.99,68.88,23.12
2024-06-07,Festival,935,914.01,669.25,244.76
2024-06-08,Wedding,349,370.51,338.87,31.64
2024-06-09,Wedding,125,139.89,126.85,13.04
2024-06-10,Small Gathering,17,17.13,13.72,3.41
2024-06-11,Corporate Event,107,112.91,96.71,16.21
2024-06-12,Festival,442,490.72,425.11,65.61
2024-06-13,Small Gathering,39,42.32,33.3,9.01
2024-06-14,Corporate Event,163,176.51,142.02,34.49
2024-06-15,Festival,990,1082.65,797.49,285.16
2024-06-16,Birthday Party,94,81.2,63.8,17.4
2024-06-17,Corporate Event,60,68.58,59.68,8.89
2024-06-18,Festival,552,557.42,497.72,59.7
2024-06-19,Birthday Party,53,62.54,51.24,11.29
2024-06-20,Birthday Party,48,49.86,38.05,11.81
2024-06-21,Small Gathering,34,40.68,33.47,7.21
2024-06-22,Festival,784,748.72,567.9,180.82
2024-06-23,Corporate Event,134,125.15,109.24,15.91
2024-06-24,Small Gathering,40,47.33,44.55,2.78
2024-06-25,Corporate Event,102,88.89,71.34,17.55
2024-06-26,Corporate Event,200,189.69,145.44,44.25
2024-06-27,Corporate Event,77,66.8,50.0,16.81
2024-06-28,Corporate Event,98,115.24,95.28,19.95
2024-06-29,Small Gathering,20,22.1,15.53,6.57
2024-06-30,Corporate Event,168,199.76,174.9,24.86
2024-07-01,Festival,806,878.5,729.66,148.84
2024-07-02,Corporate Event,109,120.26,112.98,7.28
2024-07-03,Corporate Event,159,151.47,137.95,13.52
2024-07-04,Birthday Party,41,35.14,28.44,6.7
2024-07-05,Small Gathering,17,18.72,15.54,3.18
2024-07-06,Corporate Event,198,173.66,164.25,9.41
2024-07-07,Corporate Event,96,93.53,77.81,15.73
2024-07-08,Birthday Party,52,49.2,37.05,12.15
2024-07-09,Corporate Event,131,137.95,118.3,19.65
2024-07-10,Wedding,411,376.43,264.08,112.35
2024-07-11,Wedding,454,427.99,324.76,103.23
2024-07-12,Wedding,234,187.55,136.36,51.2
2024-07-13,Corporate Event,147,132.4,115.31,17.09
2024-07-14,Birthday Party,32,30.89,28.24,2.64
2024-07-15,Festival,650,604.79,472.47,132.32
2024-07-16,Wedding,293,325.12,231.83,93.28
2024-07-17,Small Gathering,44,35.89,29.45,6.44
2024-07-18,Birthday Party,69,68.69,55.07,13.62
2024-07-19,Wedding,112,124.04,111.35,12.69
2024-07-20,Wedding,217,215.9,152.78,63.12
2024-07-21,Corporate Event,109,89.96,76.39,13.56
2024-07-22,Wedding,143,122.83,100.41,22.42
2024-07-23,Birthday Party,75,71.95,58.8,13.15
2024-07-24,Birthday Party,44,40.62,32.48,8.14
2024-07-25,Festival,370,325.53,257.63,67.9
2024-07-26,Festival,751,614.58,487.07,127.51
2024-07-27,Birthday Party,36,43.11,35.69,7.42
2024-07-28,Small Gathering,47,46.97,38.68,8.29
2024-07-29,Small Gathering,49,58.54,48.18,10.35
2024-07-30,Small Gathering,17,18.63,13.5,5.13
2024-07-31,Wedding,260,241.2,222.85,18.35
2024-08-01,Wedding,453,529.22,416.75,112.46
2024-08-02,Small Gathering,39,46.65,35.38,11.27
2024-08-03,Festival,622,700.23,635.97,64.26
2024-08-04,Small Gathering,47,38.29,27.37,10.93
2024-08-05,Festival,885,880.64,653.91,226.73
2024-08-06,Corporate Event,145,161.86,146.23,15.64
2024-08-07,Wedding,239,205.87,159.2,46.67
2024-08-08,Birthday Party,46,54.62,48.73,5.89
2024-08-09,Small Gathering,31,31.5,26.37,5.13
2024-08-10,Birthday Party,94,80.04,62.49,17.55
2024-08-11,Birthday Party,33,38.28,35.0,3.28
2024-08-12,Wedding,207,205.05,188.43,16.62
2024-08-13,Festival,495,530.67,499.39,31.28
2024-08-14,Wedding,371,300.55,226.48,74.08
2024-08-15,Festival,231,194.04,138.78,55.26
2024-08-16,Birthday Party,47,55.45,39.89,15.56
2024-08-17,Festival,571,627.32,498.88,128.45
2024-08-18,Festival,956,1010.0,730.69,279.3
2024-08-19,Corporate Event,191,183.87,128.99,54.87
2024-08-20,Birthday Party,29,29.67,25.17,4.5
2024-08-21,Wedding,282,306.91,269.41,37.5
2024-08-22,Corporate Event,81,70.08,52.33,17.75
2024-08-23,Festival,841,744.04,691.75,52.29
2024-08-24,Corporate Event,69,79.39,64.38,15.0
2024-08-25,Wedding,322,324.88,251.03,73.85
2024-08-26,Birthday Party,99,107.15,86.2,20.95
2024-08-27,Small Gathering,29,33.05,28.7,4.35
2024-08-28,Corporate Event,100,118.3,86.65,31.65
2024-08-29,Wedding,314,272.16,201.71,70.45
2024-08-30,Birthday Party,64,73.07,56.51,16.56
2024-08-31,Corporate Event,78,74.78,70.67,4.12
2024-09-01,Wedding,328,386.85,334.49,52.37
2024-09-02,Birthday Party,98,114.19,106.68,7.51
2024-09-03,Festival,298,321.33,271.59,49.74
2024-09-04,Festival,389,358.12,291.27,66.85
2024-09-05,Festival,825,929.43,749.84,179.59
2024-09-06,Wedding,204,237.96,211.95,26.01
2024-09-07,Corporate Event,89,96.99,84.96,12.03
2024-09-08,Festival,970,848.36,696.96,151.41
2024-09-09,Small Gathering,22,21.72,15.27,6.45
2024-09-10,Corporate Event,59,64.99,46.74,18.25
2024-09-11,Small Gathering,46,45.75,37.4,8.36
2024-09-12,Wedding,398,455.78,413.2,42.58
2024-09-13,Corporate Event,112,131.48,119.07,12.41
2024-09-14,Birthday Party,71,73.45,54.37,19.08
2024-09-15,Corporate Event,180,187.16,155.49,31.67
2024-09-16,Wedding,369,356.71,318.03,38.68
2024-09-17,Birthday Party,88,71.0,54.15,16.85
2024-09-18,Birthday Party,40,45.72,35.14,10.57
2024-09-19,Small Gathering,49,47.55,36.51,11.04
2024-09-20,Wedding,291,273.73,259.77,13.96
2024-09-21,Small Gathering,28,32.3,30.06,2.24
2024-09-22,Birthday Party,20,20.33,19.3,1.03
2024-09-23,Birthday Party,42,45.56,40.61,4.95
2024-09-24,Festival,919,1086.39,891.02,195.37
2024-09-25,Corporate Event,55,60.29,52.67,7.62
2024-09-26,Wedding,234,209.68,150.78,58.89
2024-09-27,Wedding,455,440.49,348.94,91.55
2024-09-28,Festival,246,288.89,218.21,70.68
2024-09-29,Wedding,270,279.22,198.05,81.17
2024-09-30,Birthday Party,67,64.86,51.15,13.71
2024-10-01,Festival,765,701.91,634.54,67.37
2024-10-02,Wedding,190,213.16,171.97,41.19
2024-10-03,Small Gathering,31,25.81,23.72,2.1
2024-10-04,Wedding,266,242.48,223.27,19.21
2024-10-05,Birthday Party,89,86.78,77.56,9.22
2024-10-06,Corporate Event,171,158.76,136.17,22.59
2024-10-07,Festival,269,270.81,226.93,43.88
2024-10-08,Wedding,479,507.08,375.92,131.16
2024-10-09,Festival,817,787.64,659.82,127.82
2024-10-10,Corporate Event,80,82.09,65.42,16.68
2024-10-11,Birthday Party,91,82.55,65.55,17.0
2024-10-12,Corporate Event,146,136.23,120.66,15.57
2024-10-13,Corporate Event,164,140.11,98.68,41.43
2024-10-14,Wedding,122,113.27,80.53,32.75
2024-10-15,Small Gathering,36,33.35,27.1,6.24
2024-10-16,Festival,749,862.15,765.86,96.29
2024-10-17,Corporate Event,161,159.65,136.73,22.92
2024-10-18,Small Gathering,50,48.15,39.8,8.36
2024-10-19,Corporate Event,194,219.06,155.84,63.22
2024-10-20,Corporate Event,154,124.82,118.56,6.25
2024-10-21,Corporate Event,97,86.32,77.53,8.79
2024-10-22,Corporate Event,162,152.06,137.1,14.97
2024-10-23,Corporate Event,156,125.16,103.86,21.3
2024-10-24,Corporate Event,142,134.81,99.66,35.15
2024-10-25,Wedding,496,424.24,314.34,109.9
2024-10-26,Small Gathering,46,55.09,47.06,8.03
2024-10-27,Small Gathering,17,19.3,13.99,5.31
2024-10-28,Wedding,313,252.78,183.24,69.55
2024-10-29,Birthday Party,33,33.0,30.27,2.73
2024-10-30,Wedding,411,458.58,321.7,136.88
2024-10-31,Wedding,210,169.53,121.0,48.53
2024-11-01,Birthday Party,99,117.1,88.73,28.37
2024-11-02,Corporate Event,134,107.86,82.04,25.82
2024-11-03,Corporate Event,183,198.11,148.18,49.93
2024-11-04,Festival,566,589.63,548.21,41.42
2024-11-05,Wedding,492,488.6,362.68,125.92
2024-11-06,Birthday Party,45,51.72,41.84,9.88
2024-11-07,Birthday Party,82,81.25,59.26,21.99
2024-11-08,Birthday Party,65,76.06,70.85,5.21
2024-11-09,Birthday Party,50,55.41,46.19,9.22
2024-11-10,Festival,997,1179.65,939.36,240.29
2024-11-11,Wedding,308,279.89,258.15,21.75
2024-11-12,Wedding,422,421.65,391.5,30.15
2024-11-13,Corporate Event,123,126.02,117.77,8.25
2024-11-14,Birthday Party,23,24.99,17.73,7.27
2024-11-15,Birthday Party,81,79.73,63.96,15.76
2024-11-16,Corporate Event,192,173.63,137.96,35.67
2024-11-17,Wedding,360,412.19,314.83,97.36
2024-11-18,Small Gathering,26,27.35,23.52,3.83
2024-11-19,Birthday Party,80,94.13,71.2,22.93
2024-11-20,Corporate Event,168,198.23,178.74,19.49
2024-11-21,Festival,423,377.16,269.95,107.21
2024-11-22,Festival,898,960.5,682.13,278.37
2024-11-23,Corporate Event,86,78.92,60.14,18.78
2024-11-24,Birthday Party,48,42.67,38.39,4.28
2024-11-25,Birthday Party,82,92.69,83.29,9.4
2024-11-26,Festival,291,295.49,244.15,51.34
2024-11-27,Corporate Event,85,92.55,71.06,21.5
2024-11-28,Wedding,498,535.98,429.89,106.08
2024-11-29,Festival,927,865.0,739.29,125.71
2024-11-30,Wedding,112,125.66,105.96,19.7
2024-12-01,Festival,998,822.69,669.53,153.16
2024-12-02,Small Gathering,49,55.15,44.89,10.26
2024-12-03,Corporate Event,127,110.43,91.71,18.72
2024-12-04,Festival,212,198.39,149.7,48.69
2024-12-05,Birthday Party,99,91.13,72.73,18.4
2024-12-06,Corporate Event,171,200.18,157.45,42.73
2024-12-07,Small Gathering,42,47.76,38.06,9.69
2024-12-08,Festival,921,1073.4,847.99,225.41
2024-12-09,Small Gathering,37,33.0,25.71,7.28
2024-12-10,Birthday Party,89,84.89,68.27,16.62
2024-12-11,Festival,257,253.34,223.63,29.72
2024-12-12,Corporate Event,177,168.14,135.67,32.47
2024-12-13,Wedding,183,147.79,112.2,35.59
2024-12-14,Birthday Party,93,106.31,82.2,24.12
2024-12-15,Small Gathering,34,34.89,27.65,7.24
2024-12-16,Festival,614,531.3,453.72,77.58
2024-12-17,Birthday Party,70,78.63,73.33,5.3
2024-12-18,Wedding,179,154.51,146.15,8.37
2024-12-19,Small Gathering,21,20.86,18.8,2.06
2024-12-20,Corporate Event,148,152.4,123.67,28.73
2024-12-21,Corporate Event,120,121.3,114.52,6.78
2024-12-22,Corporate Event,156,169.81,142.96,26.85
2024-12-23,Festival,385,369.25,295.86,73.39
2024-12-24,Corporate Event,76,66.82,48.01,18.82
2024-12-25,Corporate Event,75,80.32,59.95,20.37
2024-12-26,Corporate Event,51,53.65,44.39,9.26
2024-12-27,Wedding,291,248.11,216.01,32.1
2024-12-28,Festival,407,469.41,358.95,110.46
2024-12-29,Birthday Party,58,57.54,48.74,8.8
2024-12-30,Corporate Event,158,187.05,151.72,35.33
2024-12-31,Small Gathering,26,24.61,17.63,6.98
